Segment,MAE,RMSE,Forecast_Month1,Forecast_Month2,Forecast_Month3
Furniture,2642.278490059998,3949.939038140058,18258.982563935744,16005.234605837904,19716.11733124561
Technology,12181.725903778328,13754.979638548682,25840.21326830979,17688.13847058558,46810.81831398862
Office Supplies,1369.8431851774778,1522.3209687145188,22439.195901917465,14392.985400691128,26311.02753415686
West,9262.6704105601,9750.03320928451,25726.86418436175,18887.446789739195,42456.639015642475
East,10312.800710449179,11995.678123296624,19805.17791301666,15981.330820515219,20111.234269648096
